true_id,probe_file,probe_path,run_seed,failures,w_clean,w_black,saliency_path,error
Adrian_Nastase,Adrian_Nastase_0002.jpg,data/lfw-deepfunneled/Adrian_Nastase/Adrian_Nastase_0002.jpg,1341700,0.0,0.672919511795044,-0.010513869114220142,results/rise_baseline/rise_baseline_Adrian_Nastase_Adrian_Nastase_0002_N1000_s8_p0.5_seed1341700_saliency_norm.npy,
Gro_Harlem_Brundtland,Gro_Harlem_Brundtland_0002.jpg,data/lfw-deepfunneled/Gro_Harlem_Brundtland/Gro_Harlem_Brundtland_0002.jpg,1341800,0.0,0.6105267405509949,-0.004181570373475552,results/rise_baseline/rise_baseline_Gro_Harlem_Brundtland_Gro_Harlem_Brundtland_0002_N1000_s8_p0.5_seed1341800_saliency_norm.npy,
Mahathir_Mohamad,Mahathir_Mohamad_0003.jpg,data/lfw-deepfunneled/Mahathir_Mohamad/Mahathir_Mohamad_0003.jpg,1341900,0.0,0.5594099760055542,0.017252076417207718,results/rise_baseline/rise_baseline_Mahathir_Mohamad_Mahathir_Mohamad_0003_N1000_s8_p0.5_seed1341900_saliency_norm.npy,
Carol_Moseley_Braun,Carol_Moseley_Braun_0002.jpg,data/lfw-deepfunneled/Carol_Moseley_Braun/Carol_Moseley_Braun_0002.jpg,1342000,0.0,0.5897002220153809,0.08679043501615524,results/rise_baseline/rise_baseline_Carol_Moseley_Braun_Carol_Moseley_Braun_0002_N1000_s8_p0.5_seed1342000_saliency_norm.npy,
Guido_Westerwelle,Guido_Westerwelle_0001.jpg,data/lfw-deepfunneled/Guido_Westerwelle/Guido_Westerwelle_0001.jpg,1342100,0.0,0.6849538087844849,0.024540357291698456,results/rise_baseline/rise_baseline_Guido_Westerwelle_Guido_Westerwelle_0001_N1000_s8_p0.5_seed1342100_saliency_norm.npy,
Hal_Gehman,Hal_Gehman_0001.jpg,data/lfw-deepfunneled/Hal_Gehman/Hal_Gehman_0001.jpg,1342200,0.0,0.6492399573326111,-0.018864914774894714,results/rise_baseline/rise_baseline_Hal_Gehman_Hal_Gehman_0001_N1000_s8_p0.5_seed1342200_saliency_norm.npy,
Andrei_Mikhnevich,Andrei_Mikhnevich_0001.jpg,data/lfw-deepfunneled/Andrei_Mikhnevich/Andrei_Mikhnevich_0001.jpg,1342300,0.0,0.822080671787262,-0.006600737571716309,results/rise_baseline/rise_baseline_Andrei_Mikhnevich_Andrei_Mikhnevich_0001_N1000_s8_p0.5_seed1342300_saliency_norm.npy,
Hugh_Grant,Hugh_Grant_0003.jpg,data/lfw-deepfunneled/Hugh_Grant/Hugh_Grant_0003.jpg,1342400,0.0,0.7110474109649658,0.041324131190776825,results/rise_baseline/rise_baseline_Hugh_Grant_Hugh_Grant_0003_N1000_s8_p0.5_seed1342400_saliency_norm.npy,
Charles_Bronson,Charles_Bronson_0003.jpg,data/lfw-deepfunneled/Charles_Bronson/Charles_Bronson_0003.jpg,1342500,0.0,0.5774911642074585,0.028355833142995834,results/rise_baseline/rise_baseline_Charles_Bronson_Charles_Bronson_0003_N1000_s8_p0.5_seed1342500_saliency_norm.npy,
Clay_Aiken,Clay_Aiken_0003.jpg,data/lfw-deepfunneled/Clay_Aiken/Clay_Aiken_0003.jpg,1342600,0.0,0.6040123105049133,-0.026435736566781998,results/rise_baseline/rise_baseline_Clay_Aiken_Clay_Aiken_0003_N1000_s8_p0.5_seed1342600_saliency_norm.npy,
