output_path,identity,generation_method,blend_alpha,saliency_path,w_clean,failures
data/synthetic_probes/insightface_swap/Bob_Beauprez/Bob_Beauprez_swap_2.jpg,Bob_Beauprez,insightface_swap,,results/crise_maps/crise_tau0p1_Bob_Beauprez_Bob_Beauprez_swap_2_N1000_s8_p0.5_seed420041_saliency_norm.npy,0.04572485759854317,0
data/synthetic_probes/insightface_swap/Oleksandr_Moroz/Oleksandr_Moroz_swap_0.jpg,Oleksandr_Moroz,insightface_swap,,results/crise_maps/crise_tau0p1_Oleksandr_Moroz_Oleksandr_Moroz_swap_0_N1000_s8_p0.5_seed420042_saliency_norm.npy,0.10667639970779419,0
data/synthetic_probes/insightface_swap/Oleksandr_Moroz/Oleksandr_Moroz_swap_1.jpg,Oleksandr_Moroz,insightface_swap,,results/crise_maps/crise_tau0p1_Oleksandr_Moroz_Oleksandr_Moroz_swap_1_N1000_s8_p0.5_seed420043_saliency_norm.npy,0.07636159658432007,0
data/synthetic_probes/insightface_swap/Oleksandr_Moroz/Oleksandr_Moroz_swap_2.jpg,Oleksandr_Moroz,insightface_swap,,results/crise_maps/crise_tau0p1_Oleksandr_Moroz_Oleksandr_Moroz_swap_2_N1000_s8_p0.5_seed420044_saliency_norm.npy,-0.016710592433810234,0
data/synthetic_probes/insightface_swap/Kamal_Kharrazi/Kamal_Kharrazi_swap_0.jpg,Kamal_Kharrazi,insightface_swap,,results/crise_maps/crise_tau0p1_Kamal_Kharrazi_Kamal_Kharrazi_swap_0_N1000_s8_p0.5_seed420045_saliency_norm.npy,0.09155968576669693,0
data/synthetic_probes/insightface_swap/Kamal_Kharrazi/Kamal_Kharrazi_swap_1.jpg,Kamal_Kharrazi,insightface_swap,,results/crise_maps/crise_tau0p1_Kamal_Kharrazi_Kamal_Kharrazi_swap_1_N1000_s8_p0.5_seed420046_saliency_norm.npy,0.11303143203258514,0
data/synthetic_probes/insightface_swap/Kamal_Kharrazi/Kamal_Kharrazi_swap_2.jpg,Kamal_Kharrazi,insightface_swap,,results/crise_maps/crise_tau0p1_Kamal_Kharrazi_Kamal_Kharrazi_swap_2_N1000_s8_p0.5_seed420047_saliency_norm.npy,0.07964523136615753,0
data/synthetic_probes/insightface_swap/Amanda_Beard/Amanda_Beard_swap_0.jpg,Amanda_Beard,insightface_swap,,results/crise_maps/crise_tau0p1_Amanda_Beard_Amanda_Beard_swap_0_N1000_s8_p0.5_seed420048_saliency_norm.npy,0.12680193781852722,0
data/synthetic_probes/insightface_swap/Amanda_Beard/Amanda_Beard_swap_1.jpg,Amanda_Beard,insightface_swap,,results/crise_maps/crise_tau0p1_Amanda_Beard_Amanda_Beard_swap_1_N1000_s8_p0.5_seed420049_saliency_norm.npy,0.02411569654941559,0
data/synthetic_probes/insightface_swap/Amanda_Beard/Amanda_Beard_swap_2.jpg,Amanda_Beard,insightface_swap,,results/crise_maps/crise_tau0p1_Amanda_Beard_Amanda_Beard_swap_2_N1000_s8_p0.5_seed420050_saliency_norm.npy,0.007624058984220028,0
data/synthetic_probes/insightface_swap/Allyson_Felix/Allyson_Felix_swap_0.jpg,Allyson_Felix,insightface_swap,,results/crise_maps/crise_tau0p1_Allyson_Felix_Allyson_Felix_swap_0_N1000_s8_p0.5_seed420051_saliency_norm.npy,0.12376631796360016,0
data/synthetic_probes/insightface_swap/Allyson_Felix/Allyson_Felix_swap_1.jpg,Allyson_Felix,insightface_swap,,results/crise_maps/crise_tau0p1_Allyson_Felix_Allyson_Felix_swap_1_N1000_s8_p0.5_seed420052_saliency_norm.npy,0.05610816925764084,0
data/synthetic_probes/insightface_swap/Allyson_Felix/Allyson_Felix_swap_2.jpg,Allyson_Felix,insightface_swap,,results/crise_maps/crise_tau0p1_Allyson_Felix_Allyson_Felix_swap_2_N1000_s8_p0.5_seed420053_saliency_norm.npy,0.0303333830088377,0
data/synthetic_probes/insightface_swap/Boris_Berezovsky/Boris_Berezovsky_swap_0.jpg,Boris_Berezovsky,insightface_swap,,results/crise_maps/crise_tau0p1_Boris_Berezovsky_Boris_Berezovsky_swap_0_N1000_s8_p0.5_seed420054_saliency_norm.npy,0.09678304940462112,0
